name
I'm Luffy! The Man Who Will Become the Pirate King!
Morgan vs. Luffy! Who's This Beautiful Young Girl?
Luffy's Past! The Red-haired Shanks Appears!
Desperate Situation! Beast Tamer Mohji vs. Luffy!
Usopp Shisu?! Luffy Jouriku wa Mada?
Luffy Tatsu! Uragirareta Yakusoku no Ketsumatsu!
Luffy Dai Pinch! Gyojin Tai Luffy Kaizokudan
Luffy Suibotsu! Zoro vs Tako no Hacchan
Luffy Zenkai! Nami no Ketsui to Mugiwara Boushi
Joukinkubi! Mugiwara no Luffy Yo ni Shirewataru
Luffy Kanzen Houi! Teitoku Nelson no Hisaku
Otoko no Yakusoku! Luffy to Kujira Saikai no Chikai
Shinken Shoubu! Luffy VS Zoro Nazo no Daikettou!
Oujo Vivi o Todokero! Luffy Kaizoku Dan Shukkou
Luffy Ikaru! Seinaru Kettou ni Hiretsu na Wana!
Luffy o Osou Maryoku! Colors Trap
Ace to Luffy! Atsuki Omoi to Kyoudai no Kizuna
Luffy Tai Vivi! Nakama ni Kakeru Namida no Chikai
Nasake Muyou no Shitou! Luffy vs Crocodile
Suna Wani to Mizu Luffy! Kettou Dai 2 Round
Wanippoi! Ouke no Haka e Hashire Luffy!
Unaru Burn Bazooka!! Luffy VS Senki Wiper
Tsuini Gekitotsu! Kaizoku Luffy VS God Enel!!
Luffy Rakka! Kami no Sabaki to Nami no Nozomi!!
Kesshi no Luffy to Sanji! Kyuushutsu Dai Sakusen!
Zenkai Noro Noro Kougeki VS Fujimi no Luffy
Gomu to Koori no Ikkiuchi! Luffy vs Aokiji
Luffy VS Usopp! Butsukaru Otoko no Iji
Nami Tamashii no Sakebi! Mugiwara no Luffy Fukkatsu!
Nami o Kudake! Luffy to Zoro no Saikyou Combo
Luffy Kaishingeki! Shihou no Shima de Daikessen!!
Luffy ni Oitsuke! Mugiwara Ichimi Souryokusen
Robin o Kaese! Luffy VS Blueno!
Luffy Mokuzen! Saibansho Mae hiroba e Shuuketsu Seyo
Taki ni Mukatte Tobe!! Luffy no Omoi!!
Luffy Oyabun Futatabi! Yume ka Utsutsu ka Tomikuji Soudou
Robin Kaihou! Luffy Tai Lucci Choujou Kessen
Hannin wa Luffy Oyabun? Kieta Oozakura o Oe
Luffy o Mate! Tamerai no Hashi no Shitou!
Kobushi ni Kometa Omoi! Luffy Konshin no Gatling
Saikyou no Kakei? Akasareta Luffy no Chichi!
Atsu Atsu Choukessen! Luffy VS Shakunetsu no Don
Luffy Kinkyuujitai! Saikyou no Kage no Ikisaki
Meshi to Nami to Kage!! Luffy Ikari no Daihangeki
Teki wa Luffy!! Saikyou Zombie Tai Mugiwara no Ichimi
Gyakuten e no Hisaku: Nightmare Luffy Kenzan
Chouzetsu Battle Start! Luffy vs Luffy
Jidaigeki Tokubetsu Hen: Luffy Oyabun Futatabi Kenzan
Senaka ni Kakusareta Himitsu: Souguu Luffy to Hebihime
Luffy Daikusen! Hebi Shimai no Haki no Chikara!!
Eiga Rendou Special: Kessen! Luffy Tai Largo
Shiyuu Kessu! Sutemi no Luffy Saigo no Ichigeki
Luffy Chiryou Kaishi: Ivan-san Kiseki no Chikara!!
Luffy Fukkatsu! Iwa-san Datsugoku Keikaku Shidou!!
Ikari no Jet Pistol: Luffy vs Kurohige
Shinde mo Tasukeru: Luffy vs Kaigun Battle Start
Kengou Mihawk Luffy ni Semaru Kokutou no Zangeki
Luffy Chikaratsuku! Oris Hiroba no Souryokusen!!
Yakusoku no Tame ni!! Gekitou! Luffy to Coby
Sorezore no Eranda Michi: Luffy vs Garp!
Akainu no Shuunen! Luffy o Osou Magma no Kobushi
Nyougashima Jouriku: Luffy o Semeru Kakoku na Genjitsu
"Saikyou Tag! Funtou, Luffy to Toriko!"
Luffy to Ace: Kyoudai no Deai no Monogatari!
Luffy Deshiiri!? Kaizoku Ou to Tatakatta Otoko!
Aitsura ni Aitee! Luffy Namida no Sakebi
Meiou Rayleigh to no Saikai: Luffy Ketsudan no Toki
Masaka no Saijouriku! Luffy Marineford e!
Luffy Shugyou Kaishi: 2-nengo ni Yakusoku no Basho de
Isshokusokuhatsu! Luffy Tai Nise Luffy
Zen'in Shuugou: Luffy Shinsekai e no Funade
Shoujita Kiretsu! Luffy Tai Jinbe
Shirahoshi no Namida! Luffy Tsui ni Toujou
Isoge Luffy! Shirahoshi Zettaizetsumei
Gekitou Kaishi! Luffy Tai Hody!
Luffy Haiboku!? Hody Fukushuu no Toki
Zero ni! Luffy e no Atsuki Negai!
Luffy Konshin no Ichigeki! Red Hawk Sakuretsu
Z no Yabou Hen: Luffy VS Shuzo!
Shakunetsu no Tatakai! Luffy Tai Kyodai Ryuu!
Dai Pinch: Luffy Gokkan no Mizuumi ni Shizumu
2 Nenburi no Saikai! Luffy to Law
Nami o Sukue! Luffy Yukiyama no Tatakai
Kessei! Luffy-Law Kaizoku Doumei!
Hangeki Kaishi! Luffy-Law Daidasshutsu
Hakunetsu no Gekisen: Luffy VS Caesar
Luffy Toushi!? Kyoufu no Yukionna Monet!
Chahige Hitsuu! Luffy Ikari no Ichigeki
Luffy Umi ni Shisu!? Kaizoku Doumei Houkai
Daigyakuten! Sakuretsu Luffy Ikari no Tekken
Luffy to Shukumei no Ken Toushi Rebecca
Luffy Kyougaku: Ace no Ishi o Tsugu Otoko
Tekijin Toppa: Luffy Zoro Hangeki Kaishi
Daishuuketsu! Luffy to Kyouaku Senshi Gundan
Kaishingeki! Luffy Gundan vs Pica!
Zettaizetsumei: Wana ni Kakatta Luffy!
Daidasshutsu! Luffy Kishikaisei no Elephant Gun
Kyoudousensen: Luffy Shouri e no Toppakou
Inochi Kakete! Luffy wa Shouri no Kirifuda
Ikari Bakuhatsu: Luffy Law Saikyou no Hisaku
Law Shisu: Luffy Fundo no Moukougeki!
Haki Gekitotsu: Luffy tai Doflamingo
Luffy! Konshin no Leo Bazooka
Kaen Ryuuou: Luffy no Inochi o Mamorinuke
Ten o Utsu: Luffy Ikari no King Kong Gun
Kyoudai no Kizuna: Luffy Sabo Saikai Hiwa
